tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
290348383,1099.01,CP,6.441006,2460140.220927,1.812
281459670,110.01,KP,3.1743504,2458328.039934,2.751086
318608749,1100.01,FP,20.0731588,2459044.494531,3.8449215
271581073,1101.01,FP,2.66903,2459058.79277,1.548
311890977,1102.01,FP,6.63371,2458627.80423,2.122
351603103,1103.01,PC,2.94308,2459037.655526,4.073
451599528,1104.01,FP,341.2791676,2458702.256022,7.0132492
274151135,1105.01,PC,10.8680523,2460086.979446,2.375
384513078,1106.01,PC,11.1149,2458630.71937,2.26
394561119,1107.01,CP,4.0782392,2459336.073646,4.8475616
1717732429,1172.01,FP,7.8513949,2460634.945689,6.835
232967440,1173.01,CP,7.0643978,2460341.784305,2.424
154089169,1174.01,CP,8.9534775,2460355.403307,2.696
30329585,1175.01,FP,7.5022708,2459437.549479,2.605
230088370,1176.01,PC,14.0077666,2458695.361762,5.8727493
169177766,1177.01,FP,1.692892,2460556.672243,2.886
359496368,1178.01,FP,2.6652007,2460646.783967,3.49
266980320,118.01,CP,6.0344634,2460899.883842,2.052901
158002130,1180.01,CP,9.6867516,2460473.411486,2.512
229510866,1181.01,CP,2.1031647,2460556.242383,5.059
341544930,1182.01,FP,7.6416041,2460386.22206,2.654
258777137,1183.01,FP,5.9294088,2460654.565628,2.933
233087860,1184.01,CP,5.7484439,2460558.350441,1.76
83210867,1185.01,FP,1.1967018,2460532.182655,1.879
289539327,1186.01,FP,11.2464616,2460649.2545,7.391
372757221,1187.01,PC,2.5941968,2460310.089156,0.861
15247229,1188.01,FP,8.5112,2458687.19253,3.486
112026224,1189.01,PC,3.9687994,2459441.286476,1.07
278683844,119.01,PC,5.5411113,2460987.348604,2.4142561
278683844,119.02,PC,10.69173,2460979.593803,3.0528284
237185205,1191.01,FP,15.7335693,2459441.423236,3.288
89643259,1193.01,FP,2.2219839,2460337.368138,1.996
147950620,1194.01,CP,2.3106428,2460367.07216,1.294
24364065,1195.01,FP,4.05135,2458686.84696,2.4
